JCKBH,FAH,XWH,JKD,CDZ,KSSJ,JSSJ
4005,1,1,南,左,1900-01-01 17:02:37,1900-01-01 17:03:10
4005,1,1,南,左,1900-01-01 17:04:04,1900-01-01 17:04:37
4005,1,1,南,左,1900-01-01 17:05:31,1900-01-01 17:06:04
4005,1,1,南,左,1900-01-01 17:06:58,1900-01-01 17:07:31
4005,1,1,南,左,1900-01-01 17:08:25,1900-01-01 17:08:58
4005,1,1,南,左,1900-01-01 17:09:52,1900-01-01 17:10:25
4005,1,1,南,左,1900-01-01 17:11:19,1900-01-01 17:11:52
4005,1,1,南,左,1900-01-01 17:12:46,1900-01-01 17:13:19
4005,1,1,南,左,1900-01-01 17:14:13,1900-01-01 17:14:46
4005,1,1,南,左,1900-01-01 17:15:40,1900-01-01 17:16:13
4005,1,1,南,左,1900-01-01 17:17:07,1900-01-01 17:17:40
4005,1,1,南,左,1900-01-01 17:18:34,1900-01-01 17:19:07
4005,1,1,南,左,1900-01-01 17:20:01,1900-01-01 17:20:34
4005,1,1,南,左,1900-01-01 17:21:28,1900-01-01 17:22:01
4005,1,1,南,左,1900-01-01 17:22:55,1900-01-01 17:23:28
4005,1,1,南,左,1900-01-01 17:24:22,1900-01-01 17:24:55
4005,1,1,南,左,1900-01-01 17:25:49,1900-01-01 17:26:22
4005,1,1,南,左,1900-01-01 17:27:16,1900-01-01 17:27:49
4005,1,1,南,左,1900-01-01 17:28:43,1900-01-01 17:29:16
4005,1,1,南,左,1900-01-01 17:30:10,1900-01-01 17:30:43
4005,1,1,南,左,1900-01-01 17:31:37,1900-01-01 17:32:10
4005,1,1,南,左,1900-01-01 17:33:04,1900-01-01 17:33:37
4005,1,1,南,左,1900-01-01 17:34:31,1900-01-01 17:35:04
4005,1,1,南,左,1900-01-01 17:35:58,1900-01-01 17:36:31
4005,1,1,南,左,1900-01-01 17:37:25,1900-01-01 17:37:58
4005,1,1,南,左,1900-01-01 17:38:52,1900-01-01 17:39:25
4005,1,1,南,左,1900-01-01 17:40:19,1900-01-01 17:40:52
4005,1,1,南,左,1900-01-01 17:41:46,1900-01-01 17:42:19
4005,1,1,南,左,1900-01-01 17:43:13,1900-01-01 17:43:46
4005,1,1,南,左,1900-01-01 17:44:40,1900-01-01 17:45:13
4005,1,1,南,左,1900-01-01 17:46:07,1900-01-01 17:46:40
4005,1,1,南,左,1900-01-01 17:47:34,1900-01-01 17:48:07
4005,1,1,南,左,1900-01-01 17:49:01,1900-01-01 17:49:34
4005,1,1,南,左,1900-01-01 17:50:28,1900-01-01 17:51:01
4005,1,1,南,左,1900-01-01 17:51:55,1900-01-01 17:52:28
4005,1,1,南,左,1900-01-01 17:53:22,1900-01-01 17:53:55
4005,1,1,南,左,1900-01-01 17:54:49,1900-01-01 17:55:22
4005,1,1,南,左,1900-01-01 17:56:16,1900-01-01 17:56:49
4005,1,1,南,左,1900-01-01 17:57:43,1900-01-01 17:58:16
4005,1,1,南,左,1900-01-01 17:59:10,1900-01-01 17:59:43
4005,1,1,南,左,1900-01-01 18:00:37,1900-01-01 18:01:10
4006,1,2,北,直,1900-01-01 17:01:23,1900-01-01 17:01:56
4006,1,2,北,直,1900-01-01 17:02:50,1900-01-01 17:03:23
4006,1,2,北,直,1900-01-01 17:04:17,1900-01-01 17:04:50
4006,1,2,北,直,1900-01-01 17:05:44,1900-01-01 17:06:17
4006,1,2,北,直,1900-01-01 17:07:11,1900-01-01 17:07:44
4006,1,2,北,直,1900-01-01 17:08:38,1900-01-01 17:09:11
4006,1,2,北,直,1900-01-01 17:10:05,1900-01-01 17:10:38
4006,1,2,北,直,1900-01-01 17:11:32,1900-01-01 17:12:05
4006,1,2,北,直,1900-01-01 17:12:59,1900-01-01 17:13:32
4006,1,2,北,直,1900-01-01 17:14:26,1900-01-01 17:14:59
4006,1,2,北,直,1900-01-01 17:15:53,1900-01-01 17:16:26
4006,1,2,北,直,1900-01-01 17:17:20,1900-01-01 17:17:53
4006,1,2,北,直,1900-01-01 17:18:47,1900-01-01 17:19:20
4006,1,2,北,直,1900-01-01 17:20:14,1900-01-01 17:20:47
4006,1,2,北,直,1900-01-01 17:21:41,1900-01-01 17:22:14
4006,1,2,北,直,1900-01-01 17:23:08,1900-01-01 17:23:41
4006,1,2,北,直,1900-01-01 17:24:35,1900-01-01 17:25:08
4006,1,2,北,直,1900-01-01 17:26:02,1900-01-01 17:26:35
4006,1,2,北,直,1900-01-01 17:27:29,1900-01-01 17:28:02
4006,1,2,北,直,1900-01-01 17:28:56,1900-01-01 17:29:29
4006,1,2,北,直,1900-01-01 17:30:23,1900-01-01 17:30:56
4006,1,2,北,直,1900-01-01 17:31:50,1900-01-01 17:32:23
4006,1,2,北,直,1900-01-01 17:33:17,1900-01-01 17:33:50
4006,1,2,北,直,1900-01-01 17:34:44,1900-01-01 17:35:17
4006,1,2,北,直,1900-01-01 17:36:11,1900-01-01 17:36:44
4006,1,2,北,直,1900-01-01 17:37:38,1900-01-01 17:38:11
4006,1,2,北,直,1900-01-01 17:39:05,1900-01-01 17:39:38
4006,1,2,北,直,1900-01-01 17:40:32,1900-01-01 17:41:05
4006,1,2,北,直,1900-01-01 17:41:59,1900-01-01 17:42:32
4006,1,2,北,直,1900-01-01 17:43:26,1900-01-01 17:43:59
4006,1,2,北,直,1900-01-01 17:44:53,1900-01-01 17:45:26
4006,1,2,北,直,1900-01-01 17:46:20,1900-01-01 17:46:53
4006,1,2,北,直,1900-01-01 17:47:47,1900-01-01 17:48:20
